角度(度),T_s_RCWA,T_s_理论,T_p_RCWA,T_p_理论,R_s_RCWA,R_s_理论,R_p_RCWA,R_p_理论
0.0,0.9600000000000002,0.96,0.9600000000000002,0.96,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001
2.0,0.9599349599314781,0.9599349599314784,0.9599349599314781,0.9600649916334463,0.040065040068521574,0.040065040068521574,0.040065040068521574,0.03993500836655373
4.0,0.959739177995851,0.959739177995851,0.959739177995851,0.9602600448355002,0.0402608220041491,0.04026082200414909,0.0402608220041491,0.03973995516449975
6.0,0.9594106576929587,0.9594106576929586,0.9594106576929587,0.9605853891808369,0.04058934230704136,0.04058934230704137,0.04058934230704136,0.039414610819163046
8.0,0.958946033563013,0.9589460335630129,0.958946033563013,0.9610413892553445,0.041053966436987104,0.04105396643698712,0.041053966436987104,0.03895861074465541
10.0,0.9583405133319357,0.9583405133319357,0.9583405133319357,0.9616285166390093,0.04165948666806426,0.04165948666806429,0.04165948666806426,0.03837148336099077
12.0,0.9575877950598646,0.9575877950598648,0.9575877950598646,0.9623473087156006,0.04241220494013519,0.04241220494013515,0.04241220494013519,0.03765269128439939
14.0,0.9566799573808299,0.9566799573808299,0.9566799573808299,0.963198312228567,0.04332004261917013,0.04332004261917015,0.04332004261917013,0.036801687771433
16.0,0.9556073202926059,0.9556073202926059,0.9556073202926059,0.9641820087379384,0.04439267970739414,0.04439267970739411,0.04439267970739414,0.03581799126206167
18.0,0.9543582732625495,0.9543582732625495,0.9543582732625495,0.9652987182281949,0.04564172673745053,0.04564172673745051,0.04564172673745053,0.034701281771805106
20.0,0.9529190666412316,0.9529190666412317,0.9529190666412316,0.9665484760258074,0.04708093335876834,0.047080933358768326,0.04708093335876834,0.03345152397419265
22.0,0.9512735615030656,0.9512735615030659,0.9512735615030656,0.9679308768508853,0.048726438496934255,0.04872643849693419,0.048726438496934255,0.032069123149114726
24.0,0.9494029320427265,0.9494029320427261,0.9494029320427265,0.969444878179658,0.0505970679572739,0.05059706795727393,0.0505970679572739,0.030555121820342073
26.0,0.9472853135275392,0.9472853135275394,0.9472853135275392,0.9710885530448512,0.05271468647246056,0.052714686472460616,0.05271468647246056,0.028911446955148787
28.0,0.9448953875177667,0.9448953875177669,0.9448953875177667,0.9728587798373065,0.05510461248223306,0.05510461248223307,0.05510461248223306,0.027141220162693543
30.0,0.9422038945967873,0.942203894596787,0.9422038945967873,0.97475085345157,0.05779610540321304,0.05779610540321305,0.05779610540321304,0.025249146548429992
32.0,0.9391770631799893,0.9391770631799893,0.9391770631799893,0.9767579980577038,0.060822936820010755,0.06082293682001073,0.060822936820010755,0.023242001942296184
34.0,0.9357759410746923,0.9357759410746923,0.9357759410746923,0.9788707566458401,0.06422405892530768,0.06422405892530772,0.06422405892530768,0.02112924335415985
36.0,0.9319556143272412,0.9319556143272412,0.9319556143272412,0.9810762259748653,0.06804438567275883,0.06804438567275878,0.06804438567275883,0.018923774025134676
38.0,0.927664295507785,0.9276642955077846,0.927664295507785,0.9833570972673261,0.07233570449221537,0.07233570449221542,0.07233570449221537,0.016642902732673916
40.0,0.9228422609486087,0.9228422609486094,0.9228422609486087,0.9856904524145986,0.07715773905139062,0.0771577390513906,0.07715773905139062,0.014309547585401398
42.0,0.9174206135846051,0.9174206135846055,0.9174206135846051,0.9880462519154322,0.08257938641539463,0.08257938641539458,0.08257938641539463,0.011953748084567818
44.0,0.9113198449832755,0.9113198449832758,0.9113198449832755,0.9903854333795399,0.0886801550167242,0.0886801550167242,0.0886801550167242,0.00961456662046013
