wavelength_m,S,TTot,RTot,J11_real,J11_imag,J11_abs,J21_real,J21_imag,J21_abs,J12_real,J12_imag,J12_abs,J22_real,J22_imag,J22_abs
8.000000000000001e-07,1.7,0.9334798634301439,0.06652013656985702,-0.22492631866339788,-0.7426474169304992,0.7759620059648611,-4.016915366430306e-17,-1.652014228599227e-17,4.3433581561457976e-17,4.461906836083335e-17,8.156068899840798e-17,9.296777533792959e-17,-0.1890238559349639,-0.6976175779269636,0.7227726496936676
8.083333333333334e-07,1.7,0.9323446031911635,0.06765539680883534,-0.21115984583892286,-0.7462018449982277,0.7755034970736603,-3.8821994158111404e-19,-6.707151380194872e-18,6.718377360634874e-18,1.049735297024402e-16,-2.200686588009878e-17,1.0725550840890994e-16,-0.17397582840326695,-0.6979917989839456,0.7193470235689085
8.166666666666668e-07,1.7,0.9312555965065823,0.06874440349341907,-0.1979042708650872,-0.7493744995056754,0.7750666041934869,2.1914574346597862e-17,-1.2389919914899661e-18,2.1949571065229074e-17,-1.7957664371265226e-16,7.517666409216978e-17,1.946774301020223e-16,-0.1594174920174109,-0.6975143695822623,0.7154999877951517
8.25e-07,1.7,0.9303051837343372,0.06969481626566325,-0.18529920396982796,-0.7521564355862334,0.7746451436532985,-2.306825591570374e-17,6.033342798102635e-19,2.307614446231421e-17,9.954257964274223e-17,2.68508428676878e-17,1.031004021555539e-16,-0.14547364518552616,-0.696173281122068,0.7112101087525614
8.333333333333334e-07,1.7,0.9301037384164647,0.06989626158353521,-0.17395175614662997,-0.7543434322494662,0.7741403149587299,-1.0519366172978958e-17,-5.634792952686738e-18,1.1933480477248124e-17,-3.2256651167966425e-16,1.8460203407818547e-17,3.230943106386199e-16,-0.13242478094124915,-0.6943975802590581,0.706911820580879
8.416666666666667e-07,1.7,0.9309837629977145,0.06901623700228476,-0.16387465037364934,-0.7601018068082096,0.777566497315947,7.374550804148032e-17,1.0968488997616795e-17,7.455674152742245e-17,2.029904672847082e-16,-3.733820687844105e-17,2.063959096042396e-16,-0.11666789872194332,-0.6909986513186243,0.7007785204444776
8.500000000000001e-07,1.7,0.9302271200141161,0.06977287998588358,-0.15130892631633316,-0.764748977234356,0.7795738511289325,-3.0905613500228895e-17,4.8849507722204795e-18,3.128929033826987e-17,2.76273812442257e-16,-2.3415299668344024e-16,3.6215306887725605e-16,-0.10351852809330808,-0.6826175071779018,0.6904221511252212
8.583333333333334e-07,1.7,0.9295029082526194,0.0704970917473791,-0.13911403133362654,-0.7688055734064417,0.7812904219396913,5.117863965008656e-17,-2.990761088798861e-18,5.126595174502942e-17,-4.382651054935863e-17,6.816009073591089e-17,8.103431986547829e-17,-0.09362667939389951,-0.6693594289895186,0.6758757284231344
8.666666666666668e-07,1.7,0.928783522986876,0.07121647701312284,-0.12763361541495125,-0.7730969630228733,0.7835619018425294,2.776844763710711e-17,-1.064709603333431e-17,2.973965934770945e-17,-2.392460133722923e-16,-2.29198632028784e-17,2.4034137189375805e-16,-0.0933502949188817,-0.6450308635268711,0.6517507901519286
8.750000000000001e-07,1.7,0.9301810735179276,0.06981892648207394,-0.11411764138493871,-0.7805552604446069,0.7888531870272246,-1.9171704411140103e-17,-3.3986507801663765e-18,1.94706208723208e-17,1.927494817239221e-16,1.02953426948498e-16,2.18521785699459e-16,-0.1504056608295601,-0.6626372179030979,0.6794924174410885
