角度(度),T_s_RCWA,T_s_理论,T_p_RCWA,T_p_理论,R_s_RCWA,R_s_理论,R_p_RCWA,R_p_理论
0.0,0.96,0.96,0.96,0.96,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001
2.0,0.9598534302933575,0.9599349599314784,0.9601463239634154,0.9600649916334463,0.04014656970664261,0.040065040068521574,0.03985367603658448,0.03993500836655373
4.0,0.959409445402231,0.959739177995851,0.9605865852460053,0.9602600448355002,0.04059055459776923,0.04026082200414909,0.039413414753995166,0.03973995516449975
6.0,0.9586549459518813,0.9594106576929586,0.9613246369609546,0.9605853891808369,0.041345054048118515,0.04058934230704137,0.03867536303904568,0.039414610819163046
8.0,0.9575671616944144,0.9589460335630129,0.9623668420250178,0.9610413892553445,0.04243283830558596,0.04105396643698712,0.03763315797498217,0.03895861074465541
10.0,0.9561121300391938,0.9583405133319357,0.9637219516506662,0.9616285166390093,0.043887869960806465,0.04165948666806429,0.03627804834933375,0.03837148336099077
12.0,0.9542423146972465,0.9575877950598648,0.9654008588959089,0.9623473087156006,0.0457576853027534,0.04241220494013515,0.03459914110409096,0.03765269128439939
14.0,0.9518930548103105,0.9566799573808299,0.967416123448953,0.963198312228567,0.04810694518968949,0.04332004261917015,0.03258387655104717,0.036801687771433
16.0,0.9489773438272942,0.9556073202926059,0.9697810831547995,0.9641820087379384,0.051022656172705745,0.04439267970739411,0.030218916845199888,0.03581799126206167
18.0,0.9453781265495874,0.9543582732625495,0.9725082218102286,0.9652987182281949,0.0546218734504124,0.04564172673745051,0.027491778189771703,0.034701281771805106
20.0,0.9409367744754997,0.9529190666412317,0.9756061891432563,0.9665484760258074,0.059063225524500516,0.047080933358768326,0.02439381085674396,0.03345152397419265
22.0,0.9354354629834778,0.9512735615030659,0.9790743368607009,0.9679308768508853,0.06456453701652184,0.04872643849693419,0.02092566313929909,0.032069123149114726
24.0,0.9285694365763671,0.9494029320427261,0.9828925554674451,0.969444878179658,0.07143056342363259,0.05059706795727393,0.017107444532556016,0.030555121820342073
26.0,0.919901755128624,0.9472853135275394,0.9870018945057765,0.9710885530448512,0.08009824487137579,0.052714686472460616,0.01299810549422334,0.028911446955148787
28.0,0.9087860687444054,0.9448953875177669,0.9912662282624463,0.9728587798373065,0.09121393125559385,0.05510461248223307,0.00873377173755383,0.027141220162693543
30.0,0.8942272088549568,0.942203894596787,0.995392456554292,0.97475085345157,0.10577279114504311,0.05779610540321305,0.0046075434457086475,0.025249146548429992
32.0,0.8746106647927766,0.9391770631799893,0.9987523193422484,0.9767579980577038,0.12538933520722312,0.06082293682001073,0.0012476806577526932,0.023242001942296184
34.0,0.8471245009329301,0.9357759410746923,0.9999436538238996,0.9788707566458401,0.15287549906706957,0.06422405892530772,5.634617610096943e-05,0.02112924335415985
36.0,0.8063437683723911,0.9319556143272412,0.9955450313363898,0.9810762259748653,0.1936562316276087,0.06804438567275878,0.004454968663609796,0.018923774025134676
38.0,0.7399482224111884,0.9276642955077846,0.9756894157254785,0.9833570972673261,0.26005177758881126,0.07233570449221542,0.024310584274520847,0.016642902732673916
40.0,0.6094818914371071,0.9228422609486094,0.8999356999890742,0.9856904524145986,0.3905181085628927,0.0771577390513906,0.1000643000109266,0.014309547585401398
42.0,0.0,0.9174206135846055,0.0,0.9880462519154322,0.9999999999999998,0.08257938641539458,1.0000000000000004,0.011953748084567818
44.0,0.0,0.9113198449832758,0.0,0.9903854333795399,1.0,0.0886801550167242,1.0000000000000009,0.00961456662046013
46.0,0.0,0.9044481669669241,0.0,0.9926575170105467,1.0000000000000004,0.09555183303307586,0.9999999999999998,0.007342482989453266
48.0,0.0,0.8966995800336017,0.0,0.9947975854732832,0.9999999999999993,0.10330041996639826,0.9999999999999998,0.00520241452671674
50.0,0.0,0.887951642743486,0.0,0.9967224678486754,0.9999999999999993,0.11204835725651394,1.0000000000000002,0.0032775321513246023
52.0,0.0,0.8780629035906202,0.0,0.9983259081477263,1.0,0.12193709640937983,0.9999999999999999,0.001674091852273781
