theta_deg,wavelength_nm,LCP_inc_T_total,RCP_inc_T_total,LCP_inc_R_total,RCP_inc_R_total
-90.0,400.0,2.1523365329494462e-07,2.1523365329494518e-07,0.9999997847663462,0.9999997847663462
-90.0,401.0,2.0478751733414835e-07,2.0478751733414885e-07,0.9999997952124825,0.9999997952124825
-90.0,402.0,1.926371303954525e-07,1.9263713039545287e-07,0.9999998073628694,0.9999998073628694
-90.0,403.0,1.7909836866493875e-07,1.7909836866493896e-07,0.9999998209016311,0.9999998209016311
-90.0,404.0,1.6452379318570037e-07,1.6452379318570047e-07,0.9999998354762066,0.9999998354762066
-90.0,405.0,1.4928591296398398e-07,1.4928591296398387e-07,0.9999998507140866,0.9999998507140866
-90.0,406.0,1.3376000138680615e-07,1.3376000138680573e-07,0.9999998662399986,0.9999998662399986
-90.0,407.0,1.1830748452592376e-07,1.1830748452592319e-07,0.9999998816925152,0.9999998816925152
-90.0,408.0,1.032608560569422e-07,1.0326085605694144e-07,0.9999998967391437,0.9999998967391437
-90.0,409.0,8.891095764585673e-08,8.891095764585562e-08,0.9999999110890416,0.9999999110890416
-90.0,410.0,7.549729667821788e-08,7.549729667821651e-08,0.9999999245027034,0.9999999245027034
-90.0,411.0,6.32018582270185e-08,6.320185822701686e-08,0.999999936798142,0.999999936798142
-90.0,412.0,5.214661393422707e-08,5.2146613934225185e-08,0.9999999478533864,0.9999999478533864
-90.0,413.0,4.2394653755483524e-08,4.239465375548149e-08,0.999999957605346,0.999999957605346
-90.0,414.0,3.395459193382774e-08,3.395459193382563e-08,0.9999999660454075,0.9999999660454075
-90.0,415.0,2.6787655750753234e-08,2.6787655750751113e-08,0.9999999732123437,0.9999999732123437
-90.0,416.0,2.081668387008588e-08,2.0816683870083823e-08,0.9999999791833158,0.9999999791833158
-90.0,417.0,1.5936163235360734e-08,1.5936163235358802e-08,0.9999999840638367,0.9999999840638367
-90.0,418.0,1.2022430471751924e-08,1.2022430471750207e-08,0.9999999879775692,0.9999999879775692
-90.0,419.0,8.943251993830631e-09,8.943251993829172e-09,0.9999999910567474,0.9999999910567474
-90.0,420.0,6.5661590739068615e-09,6.56615907390571e-09,0.9999999934338408,0.9999999934338408
-90.0,421.0,4.765122487581201e-09,4.76512248758037e-09,0.9999999952348771,0.9999999952348771
-90.0,422.0,3.425374280208622e-09,3.4253742802081134e-09,0.9999999965746258,0.9999999965746258
-90.0,423.0,2.446391804096429e-09,2.4463918040962253e-09,0.999999997553608,0.999999997553608
-90.0,424.0,1.7432283714379377e-09,1.7432283714379974e-09,0.9999999982567715,0.9999999982567715
-90.0,425.0,1.2464922572166434e-09,1.2464922572169163e-09,0.9999999987535075,0.9999999987535075
-90.0,426.0,9.01338449168366e-10,9.013384491687881e-10,0.9999999990986614,0.9999999990986614
-90.0,427.0,6.658523570586188e-10,6.658523570591171e-10,0.9999999993341474,0.9999999993341474
-90.0,428.0,5.091875738728464e-10,5.091875738733441e-10,0.9999999994908119,0.9999999994908119
-90.0,429.0,4.097973177473345e-10,4.0979731774775586e-10,0.9999999995902029,0.9999999995902029
-90.0,430.0,3.541183877555886e-10,3.541183877558639e-10,0.9999999996458808,0.9999999996458808
-90.0,431.0,3.3622869253126603e-10,3.362286925313363e-10,0.9999999996637715,0.9999999996637715
-90.0,432.0,3.595692341689697e-10,3.59569234168794e-10,0.9999999996404308,0.9999999996404308
-90.0,433.0,4.4357998883143046e-10,4.4357998883099707e-10,0.9999999995564196,0.9999999995564196
-90.0,434.0,6.43524876896545e-10,6.435248768958868e-10,0.9999999993564751,0.9999999993564751
-90.0,435.0,1.1090776270646884e-09,1.1090776270639107e-09,0.9999999988909218,0.9999999988909218
-90.0,436.0,2.264029464817115e-09,2.2640294648164508e-09,0.99999999773597,0.99999999773597
-90.0,437.0,5.3774441275365035e-09,5.377444127536397e-09,0.9999999946225562,0.9999999946225562
-90.0,438.0,1.4403417525726524e-08,1.440341752572782e-08,0.9999999855965825,0.9999999855965825
-90.0,439.0,4.180006609561471e-08,4.1800066095618954e-08,0.9999999581999338,0.9999999581999338
-90.0,440.0,1.259817721448984e-07,1.2598177214490837e-07,0.9999998740182284,0.9999998740182284
-90.0,441.0,3.7932994296105576e-07,3.7932994296107635e-07,0.999999620670057,0.999999620670057
-90.0,442.0,1.1059983917512721e-06,1.1059983917513113e-06,0.9999988940016081,0.9999988940016081
-90.0,443.0,3.0544009975542688e-06,3.0544009975543403e-06,0.9999969455990027,0.9999969455990027
-90.0,444.0,7.883304072069848e-06,7.88330407206997e-06,0.9999921166959278,0.9999921166959278
-90.0,445.0,1.8896350452912536e-05,1.889635045291274e-05,0.999981103649547,0.999981103649547
-90.0,446.0,4.202302500520775e-05,4.202302500520808e-05,0.9999579769749946,0.9999579769749946
-90.0,447.0,8.691333230348554e-05,8.691333230348601e-05,0.9999130866676965,0.9999130866676965
-90.0,448.0,0.00016791071115230768,0.00016791071115230828,0.9998320892888475,0.9998320892888475
-90.0,449.0,0.0003046004013074206,0.0003046004013074214,0.9996953995986926,0.9996953995986926
-90.0,450.0,0.0005216039670762002,0.0005216039670762016,0.9994783960329237,0.9994783960329237
-90.0,451.0,0.0008473418308686942,0.0008473418308686958,0.9991526581691311,0.9991526581691312
-90.0,452.0,0.001311716475085326,0.0013117164750853277,0.9986882835249147,0.9986882835249147
-90.0,453.0,0.001943141236918931,0.0019431412369189337,0.998056858763081,0.998056858763081
-90.0,454.0,0.002765879473314219,0.0027658794733142204,0.9972341205266856,0.9972341205266856
-90.0,455.0,0.0037988440388582703,0.003798844038858272,0.9962011559611414,0.9962011559611414
-90.0,456.0,0.005056522446362402,0.005056522446362405,0.9949434775536375,0.9949434775536373
-90.0,457.0,0.006551746729303754,0.006551746729303757,0.9934482532706963,0.9934482532706963
-90.0,458.0,0.008299255330942053,0.008299255330942057,0.9917007446690577,0.9917007446690577
-90.0,459.0,0.010318866961325461,0.010318866961325461,0.9896811330386746,0.9896811330386746
-90.0,460.0,0.012637512562138253,0.012637512562138256,0.9873624874378618,0.9873624874378618
-90.0,461.0,0.01528991301705373,0.015289913017053734,0.9847100869829463,0.9847100869829463
-90.0,462.0,0.01831800170729711,0.01831800170729711,0.981681998292703,0.981681998292703
-90.0,463.0,0.021769202891919852,0.021769202891919852,0.9782307971080801,0.9782307971080801
